Job Title,Company Name,Company Location,Work Method,Post Dates,Work Times,Job Link
"Business Analyst (Bangkok Based, Relocation Provided)",Agoda,"Alexandria, Alexandria, Egypt",,3 days ago,Full-time · Associate,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
"Senior Business Analyst (Bangkok Based, Relocation Provided)",Agoda,"Alexandria, Alexandria, Egypt",,3 days ago,Full-time · Associate,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
"Analytical roles – Analyst/ Senior Analyst/ Associate Manager (Bangkok Based, Relocation Provided)",Agoda,"Alexandria, Alexandria, Egypt",,2 weeks ago,Full-time · Associate,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
"Business Analyst (Bangkok Based, Relocation Provided)",Agoda,"Cairo, Cairo, Egypt",,3 days ago,Full-time · Associate,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
"Senior DWH/BI Developer (Bangkok based, relocation provided)",Agoda,"Alexandria, Alexandria, Egypt",Hybrid,4 hours ago,Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
Data and Analytics Lead,Al Ahram Beverages Company,"El Obour, Al Qalyubiyah, Egypt",Hybrid,3 weeks ago,Full-time · Associate,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
Budgeting and Reporting Manager,Al Marasem Group,"New Cairo, Cairo, Egypt",On-site,4 weeks ago,Full-time · Director,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
Technical Consulting Professional - Data and BI ( AIT-JO156 ),Alnafitha IT,"Cairo, Cairo, Egypt",On-site,2 weeks ago,Full-time · Associate,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
EUS Specialist (EUS Tech I),Alorica,Egypt,On-site,11 hours ago,Full-time · Entry level,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
Quality Assurance Analyst,Alorica,Egypt,On-site,5 days ago,Full-time · Entry level,https://www.linkedin.com/jobs/view/3531284710/?eBP=CwEAAAGIbT41bRLDWDolvL5UjEeU6VqUwwRykdu4dP2FKtIoYFFry-e1a0yBlm77d2hUNrnzBJSfcZb6tPCvQ5e4mBGx74jF2NKkQkJV4pkM61zPnqpZQdaRNDR1VQjY7k6IAYf2utU6-taQdZh4sOhSmQdl21qNyAA9odcjzsLZ5TMRkqis6rT6u5EpAXb72P9CqLdPWrY3nYENLZasbyRUeaRBVh72s8eNZrsqeyNX4XNOuiIdpDONy0rgs4xB3dO6oTAQA396wb09wRgYPP-rZnMxepXV67HpRi0pvTwlkajPlMO5SVRLKiYTTgk2eoCNSt4W4KX8732lU-MO1qVgRRkCzrMwUPdUiXt2dIhI6HWJa_sKYeNeNXDRuYxN6nQEwZK-uLED&recommendedFlavor=SCHOOL_RECRUIT&refId=TLKrIxctcB4E41APHLyUzw%3D%3D&trackingId=aQahfMXnsuy379bWDaFoLA%3D%3D&trk=flagship3_search_srp_jobs
